's-Hertogenbosch='s Hertogenbosch|Den Bosch
Aachen=[Aachen]
al-Qāhira=al-Qāhira|al-Qāhirah|Le Caire|Cairo
Albany, NY=Albany
Alcalá de Henares=Alcalá de Henares|Alcala de Henares|Alcala|Alcalá|en Alcala de Henares|Compluti|in Complutensi Academia
Allendale, NJ=Allendale, NJ [etc.]: Alleluia Press
Alma-Ata=Almaty
Alsólendva=Alsólindva|Lendva|Lendava
Altenburg=Altenburgi|[Altenburg]|Altenburgi [Altenburg]|Altenbvrgi
Altdorf=Altorfii|Altorfii Noricorum|Altorfi|Altorfii Noric|Altorfii Noricorvm|Altorf|Norimbergae et Altorfii|Altorfi[i]|Altorfii Noric.|Altorfii, Nor.|[Altorfii]|Altorffi|Altorfi Noric|Altorfi Noric.|Altorfi[i] Noric.|Altorfii Norimbergensium|Altorff|Altorfi Noricorum|Altorfi Noricorvm|Altorfi Noricum|Altorfi[i] Noricorum|Altorfii Nor.|Altorfii Noricorm|Altorfii Noricum|Altorfii Norimb.|Altorfii Norimbergensivm|Altorfii Nov.|Altorfio|Norimbergae et Altorfi|Norimbergae Et Altorfii|Altdorfii|Altdorfii Noricorum|Altdorfi|[Altdorf]|Altdorff|Altdorfii Noric.|Altdorfii Noricorvm|[Altdorf, Franken]|[Altdorfii]|Altdorfi[i]|Altdorffii|Altdorfii Noricum|[Altdorf / Franken]|[Altdorfi]|[S. l.] [Altdorf]|[S.l. Altdorf]|Altdorffi|[Altdorf bei Nürnberg]|Altorfii Norimberg|Altdorfi [Altdorf]|Altdorfi Noric|Altdorfi Noricorum|Altdorfii [Altdorf]|Altorfii Noric [Altdorf]|[Altdorfi Noricor]|Altdorf Noricorum|Altdorffi [Altdorf]|Altdorffi Noricorum|Altdorfi Nor.|Altdorfi Noricor|AltdorfI Noricorum [Altdorf]|Altdorfi Noricorvm [Altdorf]|Altdorfii Noric|Altdorfii Noricor|[Altorphii]|Altorfi Nor.|Altorphii Noric|[Altorfii Noricorum]|[Altorphi]|Altofii Noric.|Altorphi|Altorphi Noric|Altorphii|Altorphii Noric.|Altorphii Noricor.|Recvsa Altorfii|Aldorfi|Alterfii
Altona=[Altona]|Altonae|Altonaviae
# multi
Altona|Zerbst=Altonaviae [Altona] et Servestae [Zerbst]
Altona|Flensburg=Altona und Flensburg
Amberg=Ambergæ
# multi
Amberg=Amberg u. Sulzbach|Straubingen u. Amberg
Amsterdam=Amstelodami|Amstelodami,|Be-ʼAmśṭerdam|Amsterodami|Aemsteldam|ʼAmsṭerdam|Amsterd.|Amstelrodami|Amsterd|Amstredam|Be-ʼAmsṭerdam|A Amsterdam|Amstelaedami|Amsteldam|Te Amsteldam|Amstelædami|Te Amsterdam|Amsterdamo|À Amsterdam|t'Amsteldam|T'Amsterdam|t'Amsterdam|Amstelod.|Londres [i.e. Amsterdam?]|t' Amsteldam [Amsterdam]|te Amsterdam|A Amstelodami|Amstaelodami|Amsteldami|Amsterdam [u. a.]|Cologne [i.e. Amsterdam]|Londres [i. e. Amsterdam]|Londres [i.e. Amsterdam]|[Amsterdam]|a Amsterdam|à Amsterdam|Amsterdam sic!|Amsterdam u.a.|Amsterdami|be-Amsterdam|Eleutheropolis [Amsterdam ?]|t'Amsterdam [Amsterdam]|Tot Amsterdam|t' Amsteldam|te Amsteldam|T'Amsteldam|Amstelaed.|Amstelardami|Amsteledami|Amstelod|Amstelrædami|Prostant Amstelaedami|Amsteaedami|Amstaeledami|Amstalaedami|Te bekoomen te Amst.|A Neufchatel [recte: Amsterdam]|Amstelaedami [Amsterdam]|Amstelodam|A Amsterdam, et se trouve a Paris|A Amstrdam|Londres [recte: Amsterdam]|[Amsterdam?]|A Londres [recte: Amsterdam?]|A Londres [recte: Amsterdam]|A Veritopolie [recte: Amsterdam]|aA Amsterdam|Amstelaed|Amsteldam [Amsterdam]|Amstelodám|Amstelodámban [Amszterdam]|Amstelodami [Amsterdam]|Amsterdaemi|Amsterdamo [Amsterdam]|Amsterdan|Amsterdolami|Excusum Amstelodami|In Amsterdam|In Amsterdamo|Suivant la copie imprimée a Amsterdam|Amtelodami|Amtelaedami|Amszterdam
# multi
Amsterdam|Gdańsk=Amstelodami & Gedani
Amsterdam|Bruxelles=A Amsterdam, et se trouve à Bruxelles
Amsterdam|Karlsruhe=A Amsterdam et se trouve à Carlsrouhe
Haarlem|Amsterdam=Haarlem en Amsterdam
Amsterdam|Den Haag=Amsterdam, La Haye
Amsterdam|Heilbronn=Amsterdam, Heilbronn
Amsterdam|Trieste=Amsterdam und Triest
Amsterdam|Groningen=Amsterdam en Groningen
Amsterdam|Dordrecht=Amsterdam en Dordrecht
Amsterdam|Leipzig=Amsterdam et Leipzig|A Amsterdam Et A Leipzig|Amsterdam & Leipzig|Amsterdam et a Leipzig|Amsterdam & Leipsig|A Amsterdam et a Leipsick|A Amsterdam et Leipzig|A Amsterdam et a Leipzig
Amsterdam|Paris=Amsterdam et Paris|Amsterdam, Paris|A Amsterdam & se trouve à Paris|A Amsterdam et se trouve a Paris|A Amsterdam et se trouve A Paris|A Amsterdam et se trouve à Paris|A Amsterdam, & se trouve A Paris|A Amsterdam, Et A Paris,|A Amsterdam, Et se trouve à Paris|Amsterdam - Paris|A Amsterdam, & se trouve a Paris|A Amsterdam, & se trouve à Paris|A Amsterdam, et se trouve à Paris
Ann Arbor, MI=Ann Arbor|Ann Arbor, UT|Ann Arbor, Mich.
Ansbach=Onolzbach|[Onolzbach]|Anspach|Onoldi
Antwerpen=Antverpiae|Antverpeno|Antverpiae,|Antvverpen|Antwerp|Antwerpiae|Antwerpia|Anterpiae|Antuerpia|Antuérpia|Antuerpiae|Antuerpiae iuxta portam Camerae|Antuerpie|Anturpiae|Anvers|Anveres|Anuers|Hantwerpen|Palaeopoli Advaticorvm [i.e. Antwerpia]|Amberes|En Amberes|In Amberes|Antverpiæ|T' Antwerpen|T'Hantwerpen|Antvverpiae
# multi
Paris|Antwerpen=Parisiis et Antverpiae
Antwerpen|Wien=Antverpiae, Viennae|Viennae [Antwerpen, Wien]
Århus=Aarhus|Århus
Arnstadt=Arnstadii|Arnstadia
# multi
Arnstadt=Arnstadt und Rudolstadt
Athens=Athēna|Athēna|Athēnai|En Athēnais|Athēnai|Athen|Athena|Athenai|Athenais|Athēnais|Athene|Athènes|Athènes|Athēnēsi|Athēnēsin|Athī'na|Athīna|Athī́na|Athēnais|en Athēnais
Atlantic Highlands, NJ=Antlantic Highlands, NJ|Atlantic Highland, NJ|Atlantic Highlands], NJ
